sheet,column,gap_status,candidate_current_tables,candidate_any_schema,rationale
Item Body,Sno,FILLABLE_FROM_CURRENT_ERP_TABLES,Master_MasterCodes_Table.VoucherLineNo; Master_RegistrationDetails_Table.VoucherLineNo; Master_Table.VoucherLineNo; Transaction_Header_Table.VoucherLineNo; Transaction_ItemBody_Table.VoucherLineNo; Transaction_Payments_Table.VoucherLineNo,AcadamicYearDetails_Table.VoucherLineNo; Account_AccountGroup_Table.VoucherLineNo; AccountingPeriod_Status_Table.VoucherLineNo; AdvanceLicenseDetails_Table.VoucherLineNo; An_CurrentStatus.VoucherLineNo; Apparel_ReorderLevels_Table.VoucherLineNo; ApparelPhysicalStockCheckedItems_Table.VoucherLineNO; ApparelPhysicalStockUpdate_Barcode_Table.VoucherLineNo; ApparelPhysicalStockUpdate_Header_Table.VoucherLineNo; ApparelPhysicalStockUpdate_ItemBody_Table.VoucherLineNo; ApplicationDetails_Table.VoucherLineNo; ApplicationForm_Header_Table.VoucherLineNo,Matching column(s) exist in current connector table set.
Item Body,rid,FILLABLE_FROM_CURRENT_ERP_TABLES,Master_Table.ID; Transaction_Header_Table.voucherid; Transaction_ItemBody_Table.RID; Transaction_ItemBody_Table.TVRID; Transaction_Payments_Table.rid,AssetStockLedger_Table.RID; BillWiseBalances2020.Rid; billwiseOpeningBalances.Rid; Cache_Master_Table.ID; CalculationsDetails.Id; ConsumablesIssuebody_table.RID; ConsumablesIssuebody_table.TVRID; deleteddutydrawback.RID; DeliveryPackingListDetails_Table.Rid; DeliveryPackingListDetails_Table.TVRid; Diagnos_DiagnosticTestResults_Table.RID; Diagnos_DiagnosticTestResults_Table.TVRID,Matching column(s) exist in current connector table set.
Item Body,tvrid,FILLABLE_FROM_CURRENT_ERP_TABLES,Master_Table.ID; Transaction_ItemBody_Table.RID; Transaction_ItemBody_Table.TVRID; Transaction_Payments_Table.rid,AssetStockLedger_Table.RID; BillWiseBalances2020.Rid; billwiseOpeningBalances.Rid; Cache_Master_Table.ID; CalculationsDetails.Id; ConsumablesIssuebody_table.RID; ConsumablesIssuebody_table.TVRID; deleteddutydrawback.RID; DeliveryPackingListDetails_Table.Rid; DeliveryPackingListDetails_Table.TVRid; Diagnos_DiagnosticTestResults_Table.RID; Diagnos_DiagnosticTestResults_Table.TVRID,Matching column(s) exist in current connector table set.
Item Body,MRVNo,FILLABLE_WITH_SCHEMA_EXTENSIONS,,BillWiseBalances2020.Vno; billwiseOpeningBalances.Vno; LastYearCreditorBalances.Vno; OldYearCreditorsBillWiseBalances.Vno; OpeningUnClearedCheques.VNo; recbleforemail.Vno; TempDailyDespatch.Vno; Transaction_EInvResponse_Table.Vno; Transaction_EWBResponse_Table.Vno,Matching column(s) exist in ERP schema but outside current connector table set.
Item Body,Mfg Date,FILLABLE_FROM_CURRENT_ERP_TABLES,Transaction_Header_Table.Date; Transaction_ItemBody_Table.Product; Transaction_ItemBody_Table.Batch,Apparel_ReorderLevels_Table.Product; ApparelPhysicalStockCheckedItems_Table.Product; ApparelPhysicalStockUpdate_Header_Table.Date; ApparelPhysicalStockUpdate_ItemBody_Table.Product; ApplicationForm_Header_Table.Batch; AppointmentsDetails_Table.Date; AssetBookDepreciation_Header_Table.Date; AssetInsurance_Header_Table.Date; AssetIssuedoutforMaintenance_Header_Table.Date; AssetMaintenanceContract_Header_Table.Date; AssetReceivedbackfromMaintenance_Header_Table.Date; Assets_ComponentDetails_Table.Date,Matching column(s) exist in current connector table set.
Item Body,Exp Date,FILLABLE_FROM_CURRENT_ERP_TABLES,Transaction_Header_Table.Date,ApparelPhysicalStockUpdate_Header_Table.Date; AppointmentsDetails_Table.Date; AssetBookDepreciation_Header_Table.Date; AssetInsurance_Header_Table.Date; AssetIssuedoutforMaintenance_Header_Table.Date; AssetMaintenanceContract_Header_Table.Date; AssetReceivedbackfromMaintenance_Header_Table.Date; Assets_ComponentDetails_Table.Date; Assets_GenerateAssetIdsDetails_Table.Date; AssetSale_Header_Table.Date; AssetStockLedger_Table.Date; AssetTaxDepreciation_Header_Table.Date,Matching column(s) exist in current connector table set.
Item Body,Actual Qty,FILLABLE_FROM_CURRENT_ERP_TABLES,Transaction_ItemBody_Table.Quantity; Transaction_ItemBody_Table.QuantityInBasUOM,ApparelPhysicalStockUpdate_ItemBody_Table.Quantity; Asset_Components_Table.Qty; AssetAllotmentDetails_Table.Quantity; Assets_ComponentDetails_Table.Quantity; Assets_PuttoUseDetails_Table.quantity; AssetSale_ItemBody_Table.Quantity; Company_Details_Table.QuantityDecimal; Company_Details_Table.QuantityDecimals; DeliveryPackingListDetails_Table.Quantity; Diagnos_DiagnosticTest_Inventory_Table.Qty; FillingStationCreditBill_Body_Table.Quantity; FillingStationSummaryBill_Body_Table.Quantity,Matching column(s) exist in current connector table set.
Item Body,Pending Qty,FILLABLE_FROM_CURRENT_ERP_TABLES,Transaction_ItemBody_Table.Quantity,ApparelPhysicalStockUpdate_ItemBody_Table.Quantity; Asset_Components_Table.Qty; AssetAllotmentDetails_Table.Quantity; Assets_ComponentDetails_Table.Quantity; Assets_PuttoUseDetails_Table.quantity; AssetSale_ItemBody_Table.Quantity; AutoCRM_OrderPriceDetails_Table.Balance; BankPassbookDetails_Table.balance; DeliveryPackingListDetails_Table.Quantity; Diagnos_DiagnosticTest_Inventory_Table.Qty; FillingStationCreditBill_Body_Table.Quantity; FillingStationSummaryBill_Body_Table.Quantity,Matching column(s) exist in current connector table set.
Item Body,Packages,FILLABLE_FROM_CURRENT_ERP_TABLES,Transaction_Header_Table.TotalPackages; Transaction_ItemBody_Table.Packages; Transaction_ItemBody_Table.FreePackages,Asset_Components_Table.Qty; AutoCRM_TestDriveFeedBackDetails_Table.Age; Diagnos_DiagnosticTest_Inventory_Table.Qty; Diagnos_TransHeader_Table.Age; KOT_CancellationOrBill_Table.Qty; KOT_ItemBodyDetails_Table.Qty; PackingSlip_ItemBody_Table.Qty; PatientRegistration_PatientDetails_Table.Age; PendingAdjustedDetails_Table.Qty; PendingAdjustedDetails_Tablebak.Qty; PendingDetails_Table.Qty; PendingDetails_Table_202210121.Qty,Matching column(s) exist in current connector table set.
Item Body,Free Product,FILLABLE_FROM_CURRENT_ERP_TABLES,Transaction_ItemBody_Table.Product; Transaction_ItemBody_Table.FreeProduct,Apparel_ReorderLevels_Table.Product; ApparelPhysicalStockCheckedItems_Table.Product; ApparelPhysicalStockUpdate_ItemBody_Table.Product; AssetStockLedger_Table.Product; AutoCRM_EnquiryCurrentVehiclesOwned_Table.Product; BarcodeDetails_Table.Product; BarcodeDetails_Table1.Product; CustomerWiseProductWisePriceDetails_Table.Product; DeliveryPackingListDetails_Table.Product; Diagnos_DiagnosticTest_Inventory_Table.Product; DipChartDetails_Table.Product; Enquiry_EnquiredProducts_Table.Product,Matching column(s) exist in current connector table set.
